,Model,Testing Location,O3 MAE,O3 CvMAE,O3 MBE,O3 MSE,O3 R^2,O3 crMSE,O3 rMSE
31,"(3, 'shafter', 17)","(4, 'donovan')",6.06236573054529,0.26831895023918084,-0.04728122552280431,66.3635380467818,0.8256414633287887,8.146244688965263,8.14638189914896
32,"(3, 'shafter', 19)","(2, 'elcajon')",4.833854718967758,0.21275754778038625,0.05610540588893968,48.380465020810355,0.8811972583734985,6.95538044999987,6.955606732759577
33,"(3, 'shafter', 19)","(4, 'donovan')",4.833854718967758,0.21275754778038625,0.05610540588893968,48.380465020810355,0.8811972583734985,6.95538044999987,6.955606732759577
34,"(3, 'shafter', 21)","(2, 'elcajon')",5.302453269060866,0.23468539479203485,-0.027064701586018997,51.25149249279892,0.8653457079554646,7.158963611775577,7.1590147710979695
35,"(3, 'shafter', 21)","(4, 'donovan')",5.302453269060866,0.23468539479203485,-0.027064701586018997,51.25149249279892,0.8653457079554646,7.158963611775577,7.1590147710979695
36,"(4, 'donovan', 17)","(2, 'elcajon')",8.742183641640903,0.24103731098364956,-0.25588922746458165,121.31816923653074,0.29219816282031064,11.011479915969439,11.014452743397227
37,"(4, 'donovan', 17)","(3, 'shafter')",8.742183641640903,0.24103731098364956,-0.25588922746458165,121.31816923653074,0.29219816282031064,11.011479915969439,11.014452743397227
38,"(4, 'donovan', 19)","(2, 'elcajon')",4.7727108139079935,0.13405610203322382,-0.2013011857491343,38.87830866911075,0.7788724485473818,6.231996991472854,6.2352472821140585
39,"(4, 'donovan', 19)","(3, 'shafter')",4.7727108139079935,0.13405610203322382,-0.2013011857491343,38.87830866911075,0.7788724485473818,6.231996991472854,6.2352472821140585
40,"(4, 'donovan', 21)","(2, 'elcajon')",6.702347598425861,0.18479545942128706,-1.0509791854185229,84.08636616072121,0.509418211428126,9.109435158808603,9.169861839783694
41,"(4, 'donovan', 21)","(3, 'shafter')",6.702347598425861,0.18479545942128706,-1.0509791854185229,84.08636616072121,0.509418211428126,9.109435158808603,9.169861839783694
42,"(4, 'elcajon', 11)","(2, 'shafter')",4.8024816870438585,0.2686025077869113,0.09524953697354377,35.64144469743164,0.8803207628759693,5.969285738104513,5.97004561937609
43,"(4, 'elcajon', 11)","(3, 'donovan')",4.8024816870438585,0.2686025077869113,0.09524953697354377,35.64144469743164,0.8803207628759693,5.969285738104513,5.97004561937609
44,"(4, 'elcajon', 12)","(2, 'shafter')",5.485168872252166,0.3067851604091251,0.05273368316832765,51.83668136822539,0.8259393093109458,7.199576413018003,7.199769535771642
45,"(4, 'elcajon', 12)","(3, 'donovan')",5.485168872252166,0.3067851604091251,0.05273368316832765,51.83668136822539,0.8259393093109458,7.199576413018003,7.199769535771642
46,"(4, 'elcajon', 13)","(2, 'shafter')",6.447228326551459,0.36424131785217057,0.07171256796272356,68.00676249773042,0.7683804623999263,8.246309465774758,8.24662127769491
47,"(4, 'elcajon', 13)","(3, 'donovan')",6.447228326551459,0.36424131785217057,0.07171256796272356,68.00676249773042,0.7683804623999263,8.246309465774758,8.24662127769491
48,"(4, 'shafter', 15)","(2, 'donovan')",6.1212750123269615,0.3113508898789354,-0.03422371811074173,63.894826021477634,0.7728705437372023,7.993350659053878,7.993423923543505
49,"(4, 'shafter', 15)","(3, 'elcajon')",6.1212750123269615,0.3113508898789354,-0.03422371811074173,63.894826021477634,0.7728705437372023,7.993350659053878,7.993423923543505
50,"(4, 'shafter', 18)","(2, 'donovan')",4.0351097828625795,0.20121168087256194,-0.024126836916742497,31.359095066444283,0.8890028057970298,5.5998672271925205,5.5999192017782065
51,"(4, 'shafter', 18)","(3, 'elcajon')",4.0351097828625795,0.20121168087256194,-0.024126836916742497,31.359095066444283,0.8890028057970298,5.5998672271925205,5.5999192017782065
52,"(4, 'shafter', 20)","(2, 'donovan')",4.867288840067659,0.2440015260211466,-0.0539882857868414,45.61485151702541,0.8366325236818901,6.75366099104945,6.753876776861228
53,"(4, 'shafter', 20)","(3, 'elcajon')",4.867288840067659,0.2440015260211466,-0.0539882857868414,45.61485151702541,0.8366325236818901,6.75366099104945,6.753876776861228
