,Benchmark,Board,Calibration,Model,NO2 CvMAE,NO2 MAE,O3 CvMAE,O3 MAE,NO2 MAE Improvement,NO2 CvMAE Improvement,O3 MAE Improvement,O3 CvMAE Improvement
18,Level 2,,Split-NN,"(4, 'donovan', 17)",0.7200855009757394,5.777528113091898,0.318598316854448,11.555244217142027,4.596530587165129,0.5728912029192692,9.590707505968068,0.2644325997292067
2,Level 1,,Split-NN,"(2, 'donovan', 20)",0.6034270773289564,6.359248622167156,0.21313778418636994,9.032989573433024,4.025820043227247,0.382008782306278,0.36407992583457016,0.00859064300122142
14,Level 1,,Split-NN,"(3, 'elcajon', 20)",0.2933859914937415,4.676229380377642,0.2783079509287208,6.286157478149057,2.9172370964512506,0.18302705627660115,1.665490185387446,0.07373648566684615
3,Level 1,,Split-NN,"(2, 'elcajon', 17)",0.6482332203763403,7.2911425024198735,0.3836191952700263,14.846585225934437,0.44470240115186854,0.03953713283097837,-1.9904832928255658,-0.05143186715139869
15,Level 1,,Split-NN,"(3, 'shafter', 17)",0.3608166362113746,4.938915638310901,0.4005509390041352,9.049999203529255,4.2587075316475715,0.31112346083778053,6.985760926627497,0.30918821492579107
6,Level 1,,Split-NN,"(2, 'shafter', 11)",0.3750131204077048,5.083576673588191,0.29613618974192885,9.328363187300848,3.128272653243523,0.23077123932722982,-1.7096196255889442,-0.05427321295971377
9,Level 1,,Split-NN,"(3, 'donovan', 11)",0.3473323214480793,4.178686527373812,0.2163218720278916,6.442763655849952,2.0594703148802083,0.17118312195346913,1.5472586981164467,0.05195067147684035
5,Level 1,,Split-NN,"(2, 'elcajon', 21)",0.3402672312385775,3.869413357846375,0.21356045036335825,8.243744046374161,4.442248751401316,0.39064104641269126,3.346177189944564,0.08668526141279997
20,Level 1,,Split-NN,"(4, 'donovan', 21)",0.5752814544185605,4.615708511475233,0.2672713648999979,9.693666696548464,6.390086484441589,0.7964320618363785,8.529945529747932,0.23518553459962865
26,Level 2,,Split-NN,"(4, 'shafter', 20)",0.3122720133124036,3.8759836208427614,0.299843026225221,5.981202819164526,4.3928168500983755,0.3539111348449425,4.75772964167907,0.23850922579511474
5,Level 2,,Split-NN,"(2, 'elcajon', 21)",0.32373492730841763,3.681413128054973,0.2004625523364684,7.738146129271648,4.245224794363499,0.37331521684915253,2.5174695320768805,0.06521696016057629
8,Level 1,,Split-NN,"(2, 'shafter', 13)",0.36001220730172123,4.8592785367652045,0.3262396943654464,10.338407988554161,1.1917154203167541,0.08829131643672716,1.378747097760609,0.04350786235933535
23,Level 1,,Split-NN,"(4, 'elcajon', 13)",0.3758248082508289,7.283529332100318,0.3783491001466279,6.696942154103997,0.45956796380853415,0.023713372185563852,2.8801210484274407,0.16271474083408388
7,Level 2,,Split-NN,"(2, 'shafter', 12)",0.37107217738263465,4.980894182153254,0.2968520713762774,9.35210013793537,2.391470563741957,0.17816242561703555,-0.42589853262579247,-0.013518766880312172
14,Level 2,,Split-NN,"(3, 'elcajon', 20)",0.2499289733322969,3.983575364841637,0.2678720022454826,6.0504401131301915,1.5597194637606266,0.0978565857457026,1.4424020712627437,0.06385967361840222
6,Level 2,,Split-NN,"(2, 'shafter', 11)",0.3504216788006446,4.750221726466217,0.2610256048636235,8.222371083637968,1.4950968363666934,0.1102926081218738,-0.5998710520127908,-0.019043376004204582
3,Level 2,,Split-NN,"(2, 'elcajon', 17)",0.4737302466161149,5.328382790655682,0.2807911391680613,10.86699943523802,2.6302962301975157,0.23385160765665908,0.6047910532087446,0.015627125942278552
1,Level 1,,Split-NN,"(2, 'donovan', 18)",0.5934357762361221,6.2258177185538175,0.1942690372510006,8.260713956593554,2.459642770852576,0.23444952662756724,-0.03739862220921708,-0.0008795116704530259
25,Level 1,,Split-NN,"(4, 'shafter', 18)",0.29824078322074515,3.695284724429325,0.24520856388858744,4.917425622099873,3.801583483714585,0.306819993643976,5.499441637305915,0.27423092685172834
12,Level 2,,Split-NN,"(3, 'elcajon', 15)",0.29490183774770057,4.707173813690273,0.3411405950435546,7.6658747851425115,0.6162303070395279,0.038606488142259254,6.1199503286587955,0.2723451080628167
4,Level 2,,Split-NN,"(2, 'elcajon', 19)",0.33354115519766325,3.751544443122663,0.2022779560745841,7.799798730950588,1.0698107055846107,0.09511439994737414,1.9699732084160022,0.05108877393705713
0,Level 1,,Split-NN,"(2, 'donovan', 15)",0.6238787513432595,6.643848936050914,0.3471148974536909,14.922905611390329,0.8535986207510993,0.08015565175975636,-3.958392347136046,-0.09207435799961411
12,Level 1,,Split-NN,"(3, 'elcajon', 15)",0.3659271208730778,5.840867504415063,0.5137692656813349,11.545066510377893,2.15646695577973,0.13510146288884756,-0.7040708932729274,-0.0313319967017317
15,Level 2,,Split-NN,"(3, 'shafter', 17)",0.3003450733453709,4.11117124534715,0.2950394494445422,6.666085440022527,6.132634280180185,0.44802475566194083,8.317435582109614,0.3681278370965153
5,Level 1,,Split-NN,"(2, 'elcajon', 21)",0.5714634819038582,6.49850537282502,0.31763013145346186,12.260985124649196,1.8131567364226697,0.15944479574741055,-0.6710638883304707,-0.017384419677303642
17,Level 1,,Split-NN,"(3, 'shafter', 21)",0.4201195570669037,5.75066347312887,0.430060904926956,9.716743784784493,4.341665421919893,0.31718401928973433,1.975402839091343,0.08743088748570343
7,Level 1,,Split-NN,"(2, 'shafter', 12)",0.3884272418980557,5.213850855125848,0.31277501078439096,9.853740308895137,2.6000255906563012,0.19369958924891656,-0.6683312306728855,-0.021214006187331158
22,Level 1,,Split-NN,"(4, 'elcajon', 12)",0.3057569396131542,5.909322779078328,0.2629963366590935,4.702246084637875,-0.71034127413437,-0.03675408878140668,2.202156496951951,0.12316647853469098
16,Level 2,,Split-NN,"(3, 'shafter', 19)",0.2756596244631091,3.8651543025042905,0.2847665195653425,6.469899652283231,2.0470756610746967,0.14599575173850265,0.02985468608654962,0.001314025797383489
20,Level 2,,Split-NN,"(4, 'donovan', 21)",0.6513403445569139,5.2259587879069365,0.3064386105391334,11.114223757682488,6.527518099503082,0.8135609293112445,5.3005906132174765,0.14614656479525767
17,Level 2,,Split-NN,"(3, 'shafter', 21)",0.28625452877554336,3.9182976249427144,0.3092441847325515,6.987025501634767,5.455868199166654,0.3985830403673729,1.7933641350177822,0.07937389519079519
10,Level 2,,Split-NN,"(3, 'donovan', 12)",0.33198097428816786,3.989779355785576,0.21077359167401316,6.286477376128426,1.3064159335823438,0.10870406500733865,1.8145435149139733,0.06083818186310652
